0,0.017231
0.97656,0.015879
1.9531,0.0056259
2.9297,0.010143
3.9063,0.0026306
4.8828,0.0083498
5.8594,0.032019
6.8359,0.05083
7.8125,0.026818
8.7891,0.0040618
9.7656,0.0011426
10.742,0.034756
11.719,0.026875
12.695,0.05173
13.672,0.010524
14.648,0.020531
15.625,0.022984
16.602,0.06857
17.578,0.11315
18.555,0.10594
19.531,0.081931
20.508,0.079087
21.484,0.066625
22.461,0.137
23.438,0.17139
24.414,0.14082
25.391,0.10368
26.367,0.10245
27.344,0.14981
28.32,0.041151
29.297,0.061809
30.273,0.031003
31.25,0.012916
32.227,0.021281
33.203,0.019493
34.18,0.010115
35.156,0.028434
36.133,0.051612
37.109,0.0013971
38.086,0.018612
39.063,0.061673
40.039,0.015439
41.016,0.0458
41.992,0.063897
42.969,0.020066
43.945,0.011913
44.922,0.013232
45.898,0.011979
46.875,0.030432
47.852,0.0064059
48.828,0.01784
49.805,0.0050601
