0,0.011349
0.97656,0.003974
1.9531,0.0051305
2.9297,0.019724
3.9062,0.00049876
4.8828,0.015519
5.8594,0.044558
6.8359,0.0060331
7.8125,0.00018651
8.7891,0.0070922
9.7656,0.013446
10.742,0.01755
11.719,0.027514
12.695,0.019746
13.672,0.059098
14.648,0.028628
15.625,0.00070066
16.602,0.026052
17.578,0.085225
18.555,0.13906
19.531,0.13357
20.508,0.11031
21.484,0.1058
22.461,0.083929
23.438,0.091253
24.414,0.15218
25.391,0.19262
26.367,0.10076
27.344,0.096956
28.32,0.017869
29.297,0.0024657
30.273,0.0088962
31.25,0.016366
32.227,0.028912
33.203,0.043739
34.18,0.012857
35.156,0.035005
36.133,0.065302
37.109,0.059472
38.086,0.042188
39.062,0.058554
40.039,0.0038456
41.016,0.0039694
41.992,0.009479
42.969,0.024219
43.945,0.010589
44.922,0.0065624
45.898,0.0035848
46.875,0.034876
47.852,0.0079495
48.828,0.012842
49.805,0.0067279
